combo_key,combo_label,n_factors,ic_5d,ic_20d,ic_60d,tail_reversion_score,fear_n,greed_n,fear_excess_20d,greed_excess_20d,fear_win_rate,greed_win_rate,is_sharpe,oos_sharpe,sharpe_decay
strength+move+curve+inflation+cand_sofr_ted_spread+cand_inflation_1y,強度 (NQ 52W區間) + 波動度 (MOVE偏態) + 殖利率曲線 (10Y-2Y) + 通膨意外 (CPI-10YBE) + SOFR-3M利差 + 1年通膨預期價差,6,-0.06466529143610819,-0.06164943497559439,,8.784615384615389,130,13,18.234840871021774,27.019456255637163,23.846153846153847,100.0,-0.9562193070045855,-1.5138964086771807,0.0
duration+cand_copper_gold+cand_credit_spread+cand_inflation_1y,存續期間避險 (TLT-SHY) + 銅金比報酬差 + IG企業債利差 + 1年通膨預期價差,4,-0.026416143022474314,-0.03673107028686321,,8.782945736434106,172,84,6.518561801254334,15.30150753768844,36.627906976744185,89.28571428571429,-0.5112869051103222,-0.1928975801023304,0.0
momentum+strength+curve+cand_copper_gold+cand_swap_spread+cand_sofr_ted_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 殖利率曲線 (10Y-2Y) + 銅金比報酬差 + 10Y Swap Spread + SOFR-3M利差 + 1年通膨預期價差,7,-0.008850916268382903,0.030620617568970127,,8.781818181818199,44,15,4.453022689203592,13.23484087102179,45.45454545454545,100.0,0.0014110867149826677,-0.4676430307125357,-331.40630249522246
momentum+cand_swap_spread+cand_sofr_ted_spread,動能 (10Y-SMA125) + 10Y Swap Spread + SOFR-3M利差,3,0.004080402467546214,-0.002894777694353386,,8.73239788830231,305,118,2.690578575939808,11.422976464242119,43.278688524590166,68.64406779661016,-0.35200362447948164,0.3803986230740337,0.0
duration+move+inflation+cand_credit_spread+cand_inflation_1y,存續期間避險 (TLT-SHY) + 波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + IG企業債利差 + 1年通膨預期價差,5,-0.07290092136553424,-0.11167384751515601,,8.706709956709968,132,21,15.309083295264198,24.015793251974166,23.484848484848484,95.23809523809523,-1.491220800256266,-1.1939724219453052,0.0
strength+cand_copper_gold+cand_swap_spread,強度 (NQ 52W區間) + 銅金比報酬差 + 10Y Swap Spread,3,0.032731282702958636,0.0653379831201303,,8.688682645521718,62,537,-7.897417193494353,0.7912654520273645,72.58064516129032,55.679702048417134,1.397514561980853,-0.7966095269664523,-0.5700187666290424
curve+cand_copper_gold+cand_sofr_ted_spread,殖利率曲線 (10Y-2Y) + 銅金比報酬差 + SOFR-3M利差,3,0.016568841888610332,0.0882938651668484,,8.675350123338907,472,213,-6.697786247622295,1.9775638757166123,62.07627118644068,48.82629107981221,0.5323011604724501,0.181839755239818,0.34161066843894156
move+inflation+cand_copper_gold+cand_credit_spread+cand_swap_spread+cand_sofr_ted_spread,波動度 (MOVE偏態) + 通膨意外 (CPI-10YBE) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread + SOFR-3M利差,6,0.01077611257199084,0.030482586266913712,,8.630208333333341,128,12,0.3379658710217748,8.968174204355115,55.46875,50.0,0.42365995173820453,-1.6242516481440419,-3.8338569446557655
strength+curve+cand_swap_spread,強度 (NQ 52W區間) + 殖利率曲線 (10Y-2Y) + 10Y Swap Spread,3,-0.053972290817852576,-0.07920493983793356,,8.62545766590389,40,437,-12.590159128978224,-3.9647014630743342,90.0,40.274599542334094,0.69954438659966,-0.885089851567555,-1.265237586809599
move+cand_copper_gold+cand_swap_spread,波動度 (MOVE偏態) + 銅金比報酬差 + 10Y Swap Spread,3,0.024977998321721012,0.031228869015348458,,8.61842198205835,117,242,-14.322424086243185,-5.704002104184834,70.94017094017094,42.97520661157025,0.6567453963874131,-1.3945436325025575,-2.123415923695213
strength+move+cand_copper_gold+cand_swap_spread+cand_sofr_ted_spread,強度 (NQ 52W區間) + 波動度 (MOVE偏態) + 銅金比報酬差 + 10Y Swap Spread + SOFR-3M利差,5,0.0256183721958143,0.05962299654296042,,8.584228971962613,80,107,-3.9026591289782226,4.68156984298439,63.74999999999999,52.336448598130836,0.951431273994225,-1.1000518870568272,-1.156207407854773
momentum+strength+duration+curve+cand_copper_gold+cand_credit_spread+cand_swap_spread+cand_inflation_1y,動能 (10Y-SMA125) + 強度 (NQ 52W區間) + 存續期間避險 (TLT-SHY) + 殖利率曲線 (10Y-2Y) + 銅金比報酬差 + IG企業債利差 + 10Y Swap Spread + 1年通膨預期價差,8,-0.03503959831301342,-0.03208758211437194,,8.512626262626249,72,11,7.940396426577331,16.45302268920358,38.88888888888889,100.0,-0.317425560797393,-0.3526314892880939,0.0
momentum+move+cand_credit_spread+cand_sofr_ted_spread,動能 (10Y-SMA125) + 波動度 (MOVE偏態) + IG企業債利差 + SOFR-3M利差,4,-0.025603805486250953,-0.0323732111580851,,8.37357750163506,139,55,9.879445187568537,18.253022689203597,39.568345323741006,90.9090909090909,-0.8902020457091999,-0.08347356604340321,0.0
